          18 332
  0  0  0  0  8  0  0  0  0 10  9  0  0  0  0  0  0  0
  0  0  0  0  0  0  0 10  0  0  0  9  0  0  1  0  0  0
  0  0  0  0  0  4  0  0  0  0  0  0  0  0  0  4  0  0
  0  0  0  0  4  0  0  3  0  8  0  6  0  0  0  0  0  0
  8  0  0  4  0  0  0  0  0  0  0  0  0  8  0  0  0  8
  0  0  4  0  0  0  0  0  0  0  0  0 10  5  0  0  0  0
  0  0  0  0  0  0  0  0  0  1  0  8  0  0  0  0  3  0
  0 10  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  8
  0  0  0  0  0  0  0  0  0  0  0  3  0  0  2  0 10  0
 10  0  0  8  0  0  1  0  0  0  0  0  0  0  0  0  0  0
  9  0  0  0  0  0  0  0  0  0  0  0  6  8  0  0  0  0
  0  9  0  6  0  0  8  0  3  0  0  0  0  0  0  0  0  0
  0  0  0  0  0 10  0  0  0  0  6  0  0  0  0  0  0  0
  0  0  0  0  8  5  0  0  0  0  8  0  0  0  0  8  0  0
  0  1  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0
  0  0  4  0  0  0  0  0  0  0  0  0  0  8  0  0  0  2
  0  0  0  0  0  0  3  0 10  0  0  0  0  0  0  0  0  0
  0  0  0  0  8  0  0  8  0  0  0  0  0  0  0  2  0  0
  
  0  1  4  5  2  2  1  3  7  9  7  2  4 10  2 10  7  7
  1  0  1  9  2  7  5  1  8  8  4  2  2  7  6  7 10  2
  4  1  0  1  6  8  2  7  1  9 10  2  3  7  5  9  3 10
  5  9  1  0  1  4 10  3  6  1 10  6  2 10 10  4 10  3
  2  2  6  1  0  1  4  6  3  6  1  5  9 10  4  8  4  3
  2  7  8  4  1  0  3  4  9 10  6  1  5  7  2  4  3  2
  1  5  2 10  4  3  0  1  9  7 10  7  1  6  5  3 10  3
  3  1  7  3  6  4  1  0  1  7  3  9  2  1  6  7  5 10
  7  8  1  6  3  9  9  1  0  1  6  5  7  5  1  7  8  7
  9  8  9  1  6 10  7  7  1  0  1  8  6  9 10  1  2  7
  7  4 10 10  1  6 10  3  6  1  0  1  2  9  9  4  1  6
  2  2  2  6  5  1  7  9  5  8  1  0  9  7  3  5 10  1
  4  2  3  2  9  5  1  2  7  6  2  9  0  1  9  6  3  2
 10  7  7 10 10  7  6  1  5  9  9  7  1  0  1  6  4  9
  2  6  5 10  4  2  5  6  1 10  9  3  9  1  0  1  7  4
 10  7  9  4  8  4  3  7  7  1  4  5  6  6  1  0  1  5
  7 10  3 10  4  3 10  5  8  2  1 10  3  4  7  1  0  1
  7  2 10  3  3  2  3 10  7  7  6  1  2  9  4  5  1  0
