20

   0  94   5  38  93  45  39  45  93  61  39  37  67  83  11  62  46  59  45  59
  94   0  90  57   0  58  56  50   8  32  64  64  34  20  84  39  49  42  48  42
   5  90   0  32  91  47  33  39  99  59  41  43  73  85   5  68  40  65  43  65
  38  57  32   0  58  16   0  58  66  90  60  46  48  76  26  77  45  46  52  98
  93   0  91  58   0  59  57  51   7  31  65  63  33  21  85  38  50  41  47  41
  45  58  47  16  59   0  17  59  51  91  45  47  47  61  41  60  46  45  67  81
  39  56  33   0  57  17   0  57  65  89  59  45  49  75  27  78  44  47  53  99
  45  50  39  58  51  59  57   0  59  31  25  79  79  57  45  32  24  81  59  41
  93   8  99  66   7  51  65  59   0  39  57  55  25  13  93  30  58  33  55  33
  61  32  59  90  31  91  89  31  39   0  45  59  59  29  65  30  44  61  39   9
  39  64  41  60  65  45  59  25  57  45   0  65  83  43  35  42  14  91  85  39
  37  64  43  46  63  47  45  79  55  59  65   0  33  45  49  74  66  25  47  53
  67  34  73  48  33  47  49  79  25  59  83  33   0  39  73  46  84   7  29  49
  83  20  85  76  21  61  75  57  13  29  43  45  39   0  79  44  44  47  69  23
  11  84   5  26  85  41  27  45  93  65  35  49  73  79   0  74  34  71  49  71
  62  39  68  77  38  60  78  32  30  30  42  74  46  44  74   0  57  48  42  20
  46  49  40  45  50  46  44  24  58  44  14  66  84  44  34  57   0  92  84  54
  59  42  65  46  41  45  47  81  33  61  91  25   7  47  71  48  92   0  21  51
  45  48  43  52  47  67  53  59  55  39  85  47  29  69  49  42  84  21   0  45
  59  42  65  98  41  81  99  41  33   9  39  53  49  23  71  20  54  51  45   0

   0   2   4   6   2   7   3   6   5   4   5   7   8   9   5   7   9  10   7   8
   2   0   2   4   2   5   3   4   5   4   3   5   6   7   5   5   7   8   5   6
   4   2   0   2   4   3   5   2   7   6   5   3   4   5   7   5   5   6   7   6
   6   4   2   0   6   1   7   4   9   8   7   5   4   3   9   7   5   4   9   8
   2   2   4   6   0   5   1   4   3   2   3   5   6   7   3   5   7   8   5   6
   7   5   3   1   5   0   6   3   8   7   6   4   3   2   8   6   4   3   8   7
   3   3   5   7   1   6   0   3   2   1   2   4   5   6   2   4   6   7   4   5
   6   4   2   4   4   3   3   0   5   4   3   1   2   3   5   3   3   4   5   4
   5   5   7   9   3   8   2   5   0   1   2   4   5   6   2   4   6   7   4   5
   4   4   6   8   2   7   1   4   1   0   1   3   4   5   1   3   5   6   3   4
   5   3   5   7   3   6   2   3   2   1   0   2   3   4   2   2   4   5   2   3
   7   5   3   5   5   4   4   1   4   3   2   0   1   2   4   2   2   3   4   3
   8   6   4   4   6   3   5   2   5   4   3   1   0   1   5   3   1   2   5   4
   9   7   5   3   7   2   6   3   6   5   4   2   1   0   6   4   2   1   6   5
   5   5   7   9   3   8   2   5   2   1   2   4   5   6   0   2   4   5   2   3
   7   5   5   7   5   6   4   3   4   3   2   2   3   4   2   0   2   3   2   1
   9   7   5   5   7   4   6   3   6   5   4   2   1   2   4   2   0   1   4   3
  10   8   6   4   8   3   7   4   7   6   5   3   2   1   5   3   1   0   5   4
   7   5   7   9   5   8   4   5   4   3   2   4   5   6   2   2   4   5   0   1
   8   6   6   8   6   7   5   4   5   4   3   3   4   5   3   1   3   4   1   0

81536
