         34 2254262

  0 50 42 26 33 23 16 69 97 13 35 80 40 55 30 22 76 55 56 91 74 82 96  2 13  4  4 35 48 29 42 56  3 30
 50  0 60 81 37 42  3 17 25 37 26 88 95 55 53 62 22 44 86 43 43 40 36 53 34 59 43 50 58 62 43  9 22 64
 42 60  0 46 68 53  8 30 30 92  6 13 95 76 81 91 37 78 90 64 49 46 19 60 93 35 47 69 54 87 12 39 33 54
 26 81 46  0 12 10  4 88 54 46 82 84  8 29 10 92 62 62 74 48 22 85 23  3 30 12 98 69 29 61 34 53 98 94
 33 37 68 12  0 33 77 31 54 71 78  8 78 50 76 56 80 72 26 20 57 39 68 55 71 19 32 87 41 94 21 21 20 61
 23 42 53 10 33  0 13  5 46 97 61  8 92 33 73  0 16 73 74 44 55 96 67 94 83 28 22 78 55 89 11 99 84 56
 16  3  8  4 77 13  0 30 90 87 80 20 66 59 93 79 80 28 68 99 54 69 99  1 49 63 23 33 99 40 29 60 95 28
 69 17 30 88 31  5 30  0 44 30 88 66  9 41  3  4 63 61 87 34 28 55 63 10 78 17 90  0 66 62 30 76  0 91
 97 25 30 54 54 46 90 44  0 62 73 38 49 85 86 88 13 71 46 75 98 53 52 10 84 70 44  8 52 59 48 85 29 94
 13 37 92 46 71 97 87 30 62  0 79  4 85 31 54 95 75 81 11 56 38 95 37 67 54 88 93 53 44 68 58 98 55 84
 35 26  6 82 78 61 80 88 73 79  0 76 19 46 89 89  5 23 63 19 53 20 47 17 66 60 86 14 52 27 77  5 37 27
 80 88 13 84  8  8 20 66 38  4 76  0 53 88 84 63  1 26 18 85 59 24 64 81 12 72 32 64 18 79 23 56 63  2
 40 95 95  8 78 92 66  9 49 85 19 53  0 78  3 32  3  2 18 89 50 69 66 20 97 52 81 42 28 71 71 53 87 31
 55 55 76 29 50 33 59 41 85 31 46 88 78  0 36 99 98 38 97 26 31 60 83 43 16 91 96 52 48 12 17 13 35  7
 30 53 81 10 76 73 93  3 86 54 89 84  3 36  0 96 17 59 26 30 43 53 26 37 93 35 49 33 87 55 48 63 81 55
 22 62 91 92 56  0 79  4 88 95 89 63 32 99 96  0 12 28 79 62 63 11 56  0 10 34  1 75 62 33 68 51 53 80
 76 22 37 62 80 16 80 63 13 75  5  1  3 98 17 12  0 84 40  3 32 27 32 61 27 92 25  2 15  9 30  0 97 24
 55 44 78 62 72 73 28 61 71 81 23 26  2 38 59 28 84  0 14 10 84 56 83  0 16 67  2  5 98 73 47 81 88 39
 56 86 90 74 26 74 68 87 46 11 63 18 18 97 26 79 40 14  0 46 13  9 89 96 30 66 37  2  0  1  8 84 99  7
 91 43 64 48 20 44 99 34 75 56 19 85 89 26 30 62  3 10 46  0 62 58 49 93 47 53 34 39  8 86 18 52  4 95
 74 43 49 22 57 55 54 28 98 38 53 59 50 31 43 63 32 84 13 62  0  3 80  9  3  5 26 36 92  8 94 75  8 64
 82 40 46 85 39 96 69 55 53 95 20 24 69 60 53 11 27 56  9 58  3  0 73 47 68 78  8 40  6 31 85 47 96  5
 96 36 19 23 68 67 99 63 52 37 47 64 66 83 26 56 32 83 89 49 80 73  0 98 44 86  0 93 53 16 87 94 23 61
  2 53 60  3 55 94  1 10 10 67 17 81 20 43 37  0 61  0 96 93  9 47 98  0 80 35 17 45 51 26 54 59 57 25
 13 34 93 30 71 83 49 78 84 54 66 12 97 16 93 10 27 16 30 47  3 68 44 80  0 99 87 34 79 24 41 29  7 26
  4 59 35 12 19 28 63 17 70 88 60 72 52 91 35 34 92 67 66 53  5 78 86 35 99  0 71 36 18 57 16 28  1 24
  4 43 47 98 32 22 23 90 44 93 86 32 81 96 49  1 25  2 37 34 26  8  0 17 87 71  0 68 56 81  1 54 22 67
 35 50 69 69 87 78 33  0  8 53 14 64 42 52 33 75  2  5  2 39 36 40 93 45 34 36 68  0 44  6 46 30  0 86
 48 58 54 29 41 55 99 66 52 44 52 18 28 48 87 62 15 98  0  8 92  6 53 51 79 18 56 44  0 73 15 81 68 36
 29 62 87 61 94 89 40 62 59 68 27 79 71 12 55 33  9 73  1 86  8 31 16 26 24 57 81  6 73  0 12 65 18 59
 42 43 12 34 21 11 29 30 48 58 77 23 71 17 48 68 30 47  8 18 94 85 87 54 41 16  1 46 15 12  0 93 34 92
