        125

  0  0 34 41 15 41  8 40  0  0  0  0 41  0 31  0  0 41  0 41 34  0 34  0  0  0  0 31 11 41 41  0  0  0 15  0 22  0  0 41 34 19 34 34  0 31 19 31  0  0 40  0 41 34 40 34  0 41  0 34  0  0 40  0  0  0 34  0  4 40 31 40  0  1 22 40  0 34  0  0  0  2  0  0 31 41 31 31  0 40 11 31  0  3 40 34  0 40  0  0 11 22  0 31  0 41  0 40  0  0  0 31  1  0  0 40 31 31 41 40  0  0  0  0 10
  0  0 31 36 31 36  0 27  9  0  0  0 36  0 22  0  0 36  0 36 31  0 31  0  0  0  0 22 31 36 36  0  0  0 31  0 31  0  0 36 31 31 31 31  0 21 31 21  0  0 27  0 36 31 27 31  0 36  1 31  0  0 27  0  0  0 31  0  0 27 25 27  0 31 31 27  2 31  0  0  0 31  0  0 22 36 14  9  0 27 31 14  0  0 27 31  0 27  0  0 31 31  0 25  0 36  0 27  0  0  1  2  0  0  0 27 14  9 36 27  0  0  0  0  0
 34 31  0  0  0  0 34  0 31 34 15 31  0 28  0 28 31  0 27  0  0 27  0 27 31 19 34  0  0  0  0 27 27  9  0 12  0 28 28  0  0  0  0  8 27  0  0  0 34 34  0 27  0  0  0  0 19  0  2  0 28 23  0 15 27 31  0 34 34  0  0  0 27  0  0  1 31  9 28 19 27  0 31 31  2  0  0  0 28  0  0  0 28 34  0  0 31  0 34 12  0  0 31  0 28  0 34  0 34 28 27  0 28 23 31  0  0  0  0  0 28 27 23 15 34
 41 36  0  0  0  0 41  0 36 41 28 36  0 22  0  2 36  0 40  4  0 40  1 40 36 28 41  0  0  0  1 40 40 28  0 28  0 22 22  0  0  0  0  2 40  0  0  0 41 41  0 40  0  0  0  0 28  0 28  0 22 28  0 28 40 36  0 41 41  0  0  0 40  0  0  0 36  0  4 28 40  0 36 36  0  3  0  0 11  0  0  0 22 41  0  0 36  0 41 28  0  0 36  0 19  0 41  0 41 19 40  0 19 28 36  0  0  0  0  0 11 40 28 28 41
 15 31  0  0  0  0 15  0 31  6 34 31  0 41  0 41 31  1 40  0  0 40  0 40 31 34 17  0  0  0  0 40 40 34  7 34  0 41 41  0  0  0  0  0 40  0  2  0 17 16  0 40  0  0  0  0 34  0 34  0 41 34  0 34 40 31  0 21  1  0  0  0 40  2  0  0 31  0 41 34 40  0 31 31  0  0  0  0 41  0  0  0 41 17  0  0 31  0 10 34  0  0 31  0 41  0 16  0 21 41 40  0 41 34 31  0  0  0  0  0 41 40 34 34 15
 41 36  0  0  0  0 41  0 36 41 28 36  9 20  0 22 36  0 40  0  0 40  0 40 36 28 41  0  0  0  0 40 40 28  0 28  0  1 20  0  0  0  1  0 40  0  0  0 41 41  0 40  0  0  0  0 28  2 28  0 20 28  0 28 40 36  0 41 41  0  0  0 40  0  0  0 36  0 22 28 40  0 36 36  0  0  0  0 25  0  0  0  5 41  0  0 36  0 41 28  0  0 36  0 12  0 41  0 41 12 40  0 12 28 36  0  0  0  0  0 25 40 28 28 41
  8  0 34 41 15 41  0 40  0  2  0  0 41  0 31  0  0 41  0 41 34  0 34  0  0  0  0 31 11 41 41  0  0  0 15  0 22  0  0 41 34 19 34 34  0 31 19 31  0  0 40  0 41 34 40 34  0 41  0 34  1  0 40  0  0  0 34  0  0 40 31 40  0  9 22 40  0 34  0  0  0  4  0  0 31 41 31 31  0 40 11 31  0  0 40 34  0 40  0  0 11 22  0 31  0 41  0 40  0  0  0 31  0  0  0 40 31 31 41 40  0  0  0  0 10
 40 27  0  0  0  0 40  0 27 40 27 27  0 40  0 40 27  0 11  0  0 13  0 13 27 27 40  0  0  0  0 24 20 27  0 27  0 40 40  0  0  0  0  0 11  0  0  0 40 40  0  7  0  2  0  0 27  0 27  0 40 27  0 27 20 27  0 40 40  0  0  0  2  0  0  0 27  0 40 27 11  0 27 27  0  0  0  0 40  0  0  0 40 40  0  0 27  0 40 27  0  0 27  0 40  0 40  5 40 40 24  0 40 27 27  0  0  0  0  0 40  7 27 27 40
  0  9 31 36 31 36  0 27  0  0  0  0 36  0 22  0  0 36  0 36 31  0 31  0  0  0  0 22 31 36 36  0  0  0 31  0 31  0  0 36 31 31 31 31  0 21 31 21  0  0 27  0 36 31 27 31  0 36  0 31  0  0 27  0  1  0 31  0  0 27 25 27  0 31 31 27  0 31  0  0  0 31  0  0 22 36 14  3  0 27 31 14  0  0 27 31  0 27  0  1 31 31  1 25  0 36  0 27  0  0  0  2  0  0  0 27 14 10 36 27  0  0  0  0  0
  0  0 34 41  6 41  2 40  0  0  0  0 41  0 31  0  0 41  0 41 34  0 34  0  0  0  0 31 16 41 41  0  0  0  6  0 21  0  0 41 34 17 34 34  0 31 17 31  1  0 40  0 41 34 40 34  0 41  0 34  0  0 40  0  0  0 34  0  7 40 31 40  0 15 21 40  0 34  0  0  0 15  0  0 31 41 31 31  0 40 16 31  0  0 40 34  0 40  9  0 16 21  0 31  0 41  0 40  0  0  0 31  0  0  0 40 31 31 41 40  0  0  0  0  0
  0  0 15 28 34 28  0 27  0  0  0  0 28  0 31  0  0 28  0 28 15  0 17  0  0  0  0 31 34 28 28  0  0  0 34  0 34  0  0 28 18 34 17 15  0 31 34 31  0  0 27  0 28 18 27 17  1 28  0  3  0  1 27  9  0  0 10  0  0 27 31 27  0 34 34 27  0 15  0  0  0 34  0  0 31 28 31 31  0 27 34 31  0  0 27 15  0 27  0  0 34 34  0 31  0 28  0 27  0  0  0 31  0  0  0 27 31 31 28 27  0  1  0  8  0
