         38

  0 39 68 55 71 19 32 87 41 94 21 21 20 61 13  5 46 97 61  8 92 33 73  0 16 73 74 44 55 96 67 94 83 28 22 78 55 89
 39  0 11 99 84 56 30 90 87 80 20 66 59 93 79 80 28 68 99 54 69 99  1 49 63 23 33 99 40 29 60 95 28 44 30 88 66  9
 68 11  0 41  3  4 63 61 87 34 28 55 63 10 78 17 90  0 66 62 30 76  0 91 62 73 38 49 85 86 88 13 71 46 75 98 53 52
 55 99 41  0 10 84 70 44  8 52 59 48 85 29 94 79  4 85 31 54 95 75 81 11 56 38 95 37 67 54 88 93 53 44 68 58 98 55
 71 84  3 10  0 84 76 19 46 89 89  5 23 63 19 53 20 47 17 66 60 86 14 52 27 77  5 37 27 53 88 84 63  1 26 18 85 59
 19 56  4 84 84  0 24 64 81 12 72 32 64 18 79 23 56 63  2 78  3 32  3  2 18 89 50 69 66 20 97 52 81 42 28 71 71 53
 32 30 63 70 76 24  0 87 31 36 99 98 38 97 26 31 60 83 43 16 91 96 52 48 12 17 13 35  7 96 17 59 26 30 43 53 26 37
 87 90 61 44 19 64 87  0 93 35 49 33 87 55 48 63 81 55 12 28 79 62 63 11 56  0 10 34  1 75 62 33 68 51 53 80 84 40
 41 87 87  8 46 81 31 93  0  3 32 27 32 61 27 92 25  2 15  9 30  0 97 24 14 10 84 56 83  0 16 67  2  5 98 73 47 81
 94 80 34 52 89 12 36 35  3  0 88 39 46 13  9 89 96 30 66 37  2  0  1  8 84 99  7 62 58 49 93 47 53 34 39  8 86 18
 21 20 28 59 89 72 99 49 32 88  0 52  4 95  3 80  9  3  5 26 36 92  8 94 75  8 64 73 47 68 78  8 40  6 31 85 47 96
 21 66 55 48  5 32 98 33 27 39 52  0  5 98 44 86  0 93 53 16 87 94 23 61 80 35 17 45 51 26 54 59 57 25 99 87 34 79
 20 59 63 85 23 64 38 87 32 46  4  5  0 24 41 29  7 26 71 36 18 57 16 28  1 24 68 56 81  1 54 22 67 44  6 46 30  0
 61 93 10 29 63 18 97 55 61 13 95 98 24  0 86 73 15 81 68 36 12 65 18 59 93 34 92 82 69  3 24 94 53 66 98  6 98 30
 13 79 78 94 19 79 26 48 27  9  3 44 41 86  0 31 41 74 23 56 15 63 91 67 10 63  5 20 27 20 15 75 56 89 93 60 37 44
  5 80 17 79 53 23 31 63 92 89 80 86 29 73 31  0 41 76 25  6 62 60 51 57 79 34 41 82 95 15 94 12 90 49 82 56 75 39
 46 28 90  4 20 56 60 81 25 96  9  0  7 15 41 41  0 48 84 15 45 93 74 87 39 10 81 54 80 88 13 62 11 65 72 18 81 55
 97 68  0 85 47 63 83 55  2 30  3 93 26 81 74 76 48  0 82 20 33 20 77 99  5 70 31 33 52 47 55 29 74  7 30 64 45 13
 61 99 66 31 17  2 43 12 15 66  5 53 71 68 23 25 84 82  0  7 96 98 47  0 60 94 53  6 97 20 94 42  4 30 25 64 12 44
  8 54 62 54 66 78 16 28  9 37 26 16 36 36 56  6 15 20  7  0 74 96 54 44 32 74  5 84  4 44 64 68 38 35 29 11 39 69
 92 69 30 95 60  3 91 79 30  2 36 87 18 12 15 62 45 33 96 74  0 85 79 60 83 12  5 55  9 49 88 61 92 23 54 81 58 29
